15.533274920743265+9.229359675668641*^-16*I,15.027548266655565+1.9996822024725474*^-16*I,11.811684090651916+1.1282222917320934*^-15*I,11.386966914973412-5.370082357005891*^-16*I,11.162741089072613-6.941965823857296*^-16*I,7.780872347025006+1.2152467783394407*^-15*I,7.548893523161372-6.804995088487553*^-16*I,4.094232262009072-4.1701126059223714*^-17*I,4.001411073287032-4.8138576458356397*^-17*I,0.
18.842399024511877-2.3056504811740556*^-16*I,18.304467374022945-4.684725772947807*^-16*I,14.236351694236903-2.0007091297256195*^-16*I,13.556421594636227+5.5082505380081577*^-17*I,13.254034760652454+9.919051516869491*^-16*I,9.394285553622304-6.358695223512596*^-16*I,9.05811710945419+2.1512271515055078*^-17*I,4.8519744723971066-3.7296554733501353*^-16*I,4.810793416843857-3.434752482434078*^-16*I,0.
22.28143794338038+2.2876025547326545*^-17*I,20.61809764756151+4.1236900385308313*^-16*I,16.629617216282824-2.1593831059968183*^-15*I,16.087749220071377-2.3384596087947497*^-16*I,15.551596766663174-1.5149753634693241*^-16*I,10.824342424374226+8.117230627249557*^-16*I,10.75549903459906-9.127516981866198*^-16*I,5.668127306790721+5.767955557622884*^-17*I,5.6239860409656925+5.811323644522304*^-17*I,0.
25.23683636162277+2.3393622094227355*^-16*I,24.31588527571133+2.5094048588478418*^-16*I,19.05751929784852-1.0006375975592895*^-15*I,18.44744733472294-6.278942588677994*^-17*I,18.003738181036592+5.130009302606458*^-16*I,12.45747831953383+1.7078165232040882*^-15*I,12.320899096723798-2.444903348130241*^-15*I,6.468335640574301+8.191147413127986*^-17*I,6.435525720855667+8.803721640582296*^-17*I,0.
28.384733000559223+5.844419177400838*^-16*I,27.35061779287722-6.28803935048239*^-16*I,21.480560112501855+1.504680938980639*^-15*I,20.75161852260209+5.911520806909487*^-16*I,20.245249509781416-4.042343665134319*^-16*I,14.02067734320286-9.987514089182526*^-16*I,13.861222187958028-1.156611615699828*^-15*I,7.283847752651974-3.469446951953614*^-18*I,7.241332036998373-6.38378239159465*^-16*I,0.
31.7156586791643+2.1308949915360862*^-15*I,30.395535224430528-1.371630287457261*^-15*I,23.942820154138865-1.0156531075922605*^-15*I,23.0753243887777+6.327288474426837*^-17*I,22.474782531020427+3.8706416216014636*^-16*I,15.582068917409527-2.7918716253597607*^-15*I,15.40354445952209+1.6297258632931447*^-15*I,8.105764047918333-1.4094628242311558*^-17*I,8.051834201466045-1.1275702593849246*^-17*I,0.
34.72399203728912-1.2681352454065533*^-15*I,33.24076546332509+5.63263326223432*^-16*I,26.40968474386699+1.1068785165354177*^-16*I,25.41618537600048-7.577424412876602*^-16*I,24.883093377479977+6.018345399717498*^-18*I,17.172571948710225-1.0548290878931081*^-15*I,17.000785230195312+1.047032833088316*^-15*I,8.933258608746499-2.6205505322153544*^-17*I,8.859088504958924-2.4909544912854464*^-17*I,0.
37.55838234898126+3.246035634860975*^-17*I,36.45062534724521+8.265375101153433*^-16*I,28.878023927507048+1.2196366715510694*^-15*I,27.98751251999251+1.3685585441083472*^-16*I,27.36725089716076-6.795706799479211*^-17*I,18.69889617010282+2.8767172278683484*^-17*I,18.526458624872994+4.691235326699482*^-18*I,9.745568163185677-1.093959992037874*^-16*I,9.669502249599045-8.760353553682876*^-17*I,0.
40.86202418239382+5.785403165296905*^-16*I,39.576764756291816+2.032405456845836*^-15*I,31.315473072711654-7.786260480591932*^-16*I,30.27033847956793+4.584151996349931*^-16*I,29.6033437461656+1.3107166322123568*^-16*I,20.236693439868464+1.0490090872484141*^-15*I,20.050098721313066-1.49450035540546*^-15*I,10.532823919398822-4.2327252813834093*^-16*I,10.455554878621877-2.1510571102112408*^-16*I,0.
44.21587273332711-1.4656214798774058*^-15*I,42.49173950839078+1.3875823703159578*^-15*I,33.66507868127081+8.013094003525385*^-16*I,32.61760819034137-8.21980117733304*^-16*I,31.931503356849156+4.292380015317233*^-16*I,21.728566997094507-2.2407188759405723*^-15*I,21.602425980312677-7.830801982774854*^-16*I,11.362299715180315+2.0383000842727483*^-16*I,11.2660332670913+1.6306400674181987*^-16*I,0.
